Nx,N,norm0,sum_cn,recon_L2_err
800,120,1.0,0.997959195530624,0.04517526391042493
800,200,1.0,0.9991078979369246,0.02986807765953304
800,400,1.0,0.9998443194605774,0.012477200784755291
800,800,1.0,1.0000000078456595,8.85757249292899e-05
1200,120,0.9999999999999999,0.9976456937541833,0.04852119377980104
1200,200,0.9999999999999999,0.9988352028810081,0.034129124204880706
1200,400,0.9999999999999999,0.9996700999078857,0.018163152042383033
1200,800,0.9999999999999999,0.9999736150197386,0.0051366312172261355
1600,120,1.0,0.9974797665046616,0.05020192720741516
1600,200,1.0,0.9986835836177784,0.036282452814299634
1600,400,1.0,0.9995539606081819,0.02111964468968149
1600,800,1.0,0.9999220745384687,0.008827539947889073
